                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1418,                 1.9354,                 1.4029,                0.19725,                0.37472,                0.15041,                0.06799,                 2.0881,                 3.3535,                 2.7971,             0.00047473,             0.00047473,             0.00047473
                      2,                 1.2127,                 1.6016,                 1.4654,                0.19878,                0.36677,                0.19104,                0.09078,                 1.8551,                 2.9486,                 2.4635,             0.00094165,             0.00094165,             0.00094165
                      3,                 1.1873,                 1.5591,                 1.4611,                0.21715,                0.33632,                0.17373,                0.06343,                 2.1725,                 2.7822,                 2.6776,              0.0013991,              0.0013991,              0.0013991
                      4,                 1.1483,                 1.4258,                 1.4348,                0.26922,                0.37203,                0.21204,                0.09244,                 1.9186,                  2.653,                 2.3857,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.0355,                 1.2706,                 1.3409,                0.32143,                0.45334,                0.29251,                0.12709,                 1.9655,                 2.2515,                 2.5333,              0.0013724,              0.0013724,              0.0013724
                      6,                 0.9838,                 1.1883,                 1.3262,                 0.3665,                0.48938,                0.34507,                0.15074,                 1.9266,                   2.22,                 2.5012,              0.0013583,              0.0013583,              0.0013583
                      7,                0.91449,                  1.057,                 1.2804,                0.40231,                0.37121,                0.26969,                0.11601,                 1.9344,                 2.6942,                 2.5601,              0.0013441,              0.0013441,              0.0013441
                      8,                0.89373,                 1.0329,                 1.2695,                0.42283,                0.45629,                0.41584,                0.21442,                 1.6804,                  1.893,                 2.1766,                0.00133,                0.00133,                0.00133
                      9,                0.84444,                0.98942,                 1.2366,                0.44427,                0.46254,                0.39875,                0.19301,                 1.8597,                 2.0688,                 2.4602,              0.0013158,              0.0013158,              0.0013158
                     10,                0.79211,                0.90701,                 1.1957,                0.43218,                0.43737,                0.37386,                0.18271,                 1.7069,                 2.1263,                 2.1742,              0.0013017,              0.0013017,              0.0013017
                     11,                0.71844,                0.84477,                 1.1523,                0.50674,                0.43192,                0.40557,                0.20659,                 1.7228,                 2.0719,                 2.2649,              0.0012875,              0.0012875,              0.0012875
                     12,                0.71404,                0.81727,                 1.1483,                0.54285,                0.48707,                0.49989,                0.26049,                 1.6957,                 1.9146,                 2.2192,              0.0012734,              0.0012734,              0.0012734
                     13,                0.68836,                0.80499,                 1.1401,                0.47576,                  0.554,                0.49701,                0.28052,                 1.6206,                 1.7097,                 2.0392,              0.0012592,              0.0012592,              0.0012592
                     14,                0.66747,                 0.7534,                 1.1195,                0.43631,                0.50899,                0.40544,                0.22796,                 1.7119,                 2.5522,                 2.2157,              0.0012451,              0.0012451,              0.0012451
                     15,                0.65312,                0.74555,                 1.1139,                0.57209,                0.52688,                0.54151,                0.29896,                 1.5557,                 1.5705,                  2.034,              0.0012309,              0.0012309,              0.0012309
                     16,                0.62419,                0.71769,                 1.0925,                0.53497,                0.57841,                0.54892,                0.29696,                 1.5848,                 1.7465,                 2.0258,              0.0012168,              0.0012168,              0.0012168
                     17,                0.61495,                0.70558,                 1.0943,                0.55288,                0.57359,                0.53226,                0.28996,                 1.5445,                 1.7541,                 1.9844,              0.0012026,              0.0012026,              0.0012026
                     18,                0.62178,                0.69132,                 1.0975,                0.58077,                0.50222,                0.55605,                0.31125,                 1.5874,                 1.7462,                 2.0427,              0.0011885,              0.0011885,              0.0011885
                     19,                0.59011,                0.67104,                 1.0776,                 0.5985,                 0.5975,                0.60498,                0.33339,                 1.5321,                 1.5029,                 2.0034,              0.0011744,              0.0011744,              0.0011744
                     20,                0.59325,                0.67705,                  1.075,                 0.5224,                0.58694,                0.54911,                0.29735,                 1.5882,                 1.5954,                 2.0263,              0.0011602,              0.0011602,              0.0011602
                     21,                0.56767,                0.66194,                 1.0725,                0.54325,                0.63491,                0.53468,                0.29833,                 1.6084,                 1.6459,                 2.1462,              0.0011461,              0.0011461,              0.0011461
                     22,                0.53407,                0.62254,                 1.0563,                0.48833,                0.59568,                 0.5897,                0.33801,                 1.6123,                 1.7277,                 2.1828,              0.0011319,              0.0011319,              0.0011319
                     23,                0.54674,                0.60823,                 1.0456,                0.58166,                 0.5609,                0.62305,                0.36389,                 1.5051,                 1.5418,                 1.9662,              0.0011178,              0.0011178,              0.0011178
                     24,                0.51921,                0.55942,                 1.0256,                0.55129,                0.57722,                0.55987,                0.31263,                 1.6024,                 1.6331,                 2.0355,              0.0011036,              0.0011036,              0.0011036
                     25,                0.54359,                0.59681,                 1.0485,                0.61489,                0.56464,                0.60019,                0.35043,                 1.5014,                 1.5872,                 1.9494,              0.0010895,              0.0010895,              0.0010895
                     26,                0.51271,                0.57735,                 1.0368,                0.62215,                0.52876,                0.59777,                0.34606,                 1.5564,                  1.622,                 2.0699,              0.0010753,              0.0010753,              0.0010753
                     27,                0.50389,                0.55762,                 1.0287,                0.61555,                0.60218,                0.64755,                0.39509,                 1.4729,                 1.3679,                 1.8905,              0.0010612,              0.0010612,              0.0010612
                     28,                0.50674,                 0.5522,                  1.023,                0.57546,                0.63054,                0.62072,                0.36697,                 1.5133,                  1.449,                 1.9194,               0.001047,               0.001047,               0.001047
                     29,                0.49114,                0.53437,                 1.0189,                0.59443,                0.63324,                0.63148,                0.36207,                   1.54,                 1.4807,                 2.0033,              0.0010329,              0.0010329,              0.0010329
                     30,                0.46804,                0.53092,                 1.0184,                0.50249,                0.62228,                0.62094,                0.36123,                 1.5188,                 1.6263,                 1.9459,              0.0010187,              0.0010187,              0.0010187
                     31,                  0.465,                0.53097,                 1.0063,                0.58819,                0.65717,                0.68687,                0.43068,                 1.3819,                 1.3753,                 1.8104,              0.0010046,              0.0010046,              0.0010046
                     32,                0.45551,                0.48313,                0.99568,                0.62811,                0.63495,                0.64044,                0.39121,                 1.4054,                  1.259,                 1.8391,             0.00099044,             0.00099044,             0.00099044
                     33,                0.45604,                0.49724,                 1.0133,                0.63457,                 0.6523,                0.68188,                0.41653,                 1.4761,                 1.2579,                 1.8974,             0.00097629,             0.00097629,             0.00097629
                     34,                0.45483,                0.50767,                 1.0153,                0.66358,                0.52638,                0.61059,                0.37785,                 1.3853,                 1.3973,                 1.8204,             0.00096215,             0.00096215,             0.00096215
                     35,                0.44533,                0.49606,                0.99908,                0.59881,                0.64408,                0.68335,                 0.4243,                 1.3894,                 1.3085,                 1.8565,               0.000948,               0.000948,               0.000948
                     36,                0.46352,                0.51148,                 1.0182,                0.57065,                0.67467,                0.66463,                0.40387,                 1.4422,                 1.3675,                   1.88,             0.00093385,             0.00093385,             0.00093385
                     37,                0.45038,                0.49342,                 1.0064,                0.59329,                0.58793,                0.62293,                0.37079,                 1.4728,                 1.4307,                 1.8572,              0.0009197,              0.0009197,              0.0009197
                     38,                0.43395,                0.47499,                0.99419,                0.61118,                0.62899,                0.66241,                 0.3847,                 1.4979,                 1.3489,                 1.9458,             0.00090556,             0.00090556,             0.00090556
                     39,                0.41952,                0.46143,                 0.9816,                0.69371,                 0.6759,                0.71118,                 0.4199,                 1.4079,                 1.2068,                 1.8041,             0.00089141,             0.00089141,             0.00089141
                     40,                0.42039,                0.45457,                0.98603,                0.66571,                 0.6687,                0.72936,                0.43157,                 1.4066,                  1.144,                  1.803,             0.00087726,             0.00087726,             0.00087726
                     41,                0.43053,                0.46071,                0.99311,                0.66014,                0.63769,                0.66424,                0.39825,                 1.4425,                 1.2588,                 1.8668,             0.00086312,             0.00086312,             0.00086312
                     42,                0.42459,                0.45563,                0.98836,                 0.6735,                0.69771,                 0.7444,                 0.4731,                 1.3105,                 1.1409,                 1.7083,             0.00084897,             0.00084897,             0.00084897
                     43,                0.39982,                0.44404,                0.98359,                0.59116,                0.67938,                0.67654,                0.41238,                  1.431,                 1.2925,                 1.8892,             0.00083482,             0.00083482,             0.00083482
                     44,                0.40648,                0.42655,                0.96999,                0.63545,                0.67151,                0.69947,                0.43185,                 1.3953,                 1.1828,                 1.7907,             0.00082067,             0.00082067,             0.00082067
                     45,                0.39083,                0.42144,                0.96567,                 0.5775,                0.69787,                0.68935,                0.42405,                 1.4167,                  1.312,                 1.8459,             0.00080653,             0.00080653,             0.00080653
                     46,                0.40059,                0.43231,                0.96646,                0.62655,                0.69261,                0.68269,                0.41718,                 1.3646,                 1.2463,                 1.8018,             0.00079238,             0.00079238,             0.00079238
                     47,                0.39574,                0.42559,                 0.9798,                0.65103,                0.65562,                0.71854,                0.44846,                  1.337,                 1.1913,                 1.7214,             0.00077823,             0.00077823,             0.00077823
                     48,                0.40279,                0.44521,                0.97862,                0.60218,                0.68622,                0.70735,                0.45127,                 1.3366,                 1.1592,                 1.7398,             0.00076409,             0.00076409,             0.00076409
                     49,                0.39362,                  0.423,                0.97587,                 0.6416,                0.61066,                0.65666,                0.39927,                 1.4315,                  1.277,                 1.8378,             0.00074994,             0.00074994,             0.00074994
                     50,                0.39699,                0.41832,                0.98374,                0.64764,                 0.7046,                0.73911,                0.49058,                 1.2914,                 1.1591,                 1.7247,             0.00073579,             0.00073579,             0.00073579
                     51,                0.37665,                0.40321,                0.96498,                0.72988,                0.68171,                0.75202,                0.45925,                 1.3661,                 1.1249,                 1.7879,             0.00072164,             0.00072164,             0.00072164
                     52,                0.38514,                 0.4128,                 0.9671,                0.65624,                0.71778,                 0.7465,                 0.4571,                 1.3495,                 1.1575,                  1.761,              0.0007075,              0.0007075,              0.0007075
                     53,                0.38088,                 0.4077,                0.96189,                0.72129,                0.63465,                0.73557,                0.47602,                 1.3092,                 1.1024,                  1.709,             0.00069335,             0.00069335,             0.00069335
                     54,                0.37722,                0.38651,                0.96842,                  0.668,                0.70242,                0.74084,                0.45777,                 1.2844,                 1.1755,                 1.6897,              0.0006792,              0.0006792,              0.0006792
                     55,                0.37207,                0.39615,                0.96645,                0.59312,                0.71971,                0.73209,                0.46596,                 1.3468,                  1.224,                 1.7725,             0.00066506,             0.00066506,             0.00066506
                     56,                0.36722,                 0.3873,                0.95653,                0.69076,                0.72337,                0.77061,                0.48833,                 1.2945,                 1.0848,                 1.6923,             0.00065091,             0.00065091,             0.00065091
                     57,                0.36921,                0.38707,                0.96578,                0.62829,                0.72349,                0.74051,                0.46167,                 1.3443,                 1.1308,                 1.7612,             0.00063676,             0.00063676,             0.00063676
                     58,                0.35321,                0.37134,                  0.949,                0.65049,                0.71043,                0.72407,                0.44217,                 1.3976,                 1.1981,                   1.82,             0.00062262,             0.00062262,             0.00062262
                     59,                0.36324,                0.36839,                0.95706,                0.62264,                0.74785,                0.75561,                0.46178,                 1.3949,                 1.1762,                  1.849,             0.00060847,             0.00060847,             0.00060847
                     60,                0.36763,                0.37796,                0.96125,                0.63421,                0.65683,                0.68294,                0.42993,                 1.3088,                 1.2627,                 1.7174,             0.00059432,             0.00059432,             0.00059432
                     61,                 0.3626,                0.37625,                0.95878,                0.63819,                0.69361,                0.71958,                0.45964,                 1.3569,                 1.1844,                 1.7918,             0.00058017,             0.00058017,             0.00058017
                     62,                0.33759,                0.35955,                0.94372,                0.64338,                0.69346,                0.72697,                0.44597,                 1.3788,                  1.131,                 1.8019,             0.00056603,             0.00056603,             0.00056603
                     63,                0.35005,                0.36604,                0.95968,                0.73881,                0.66831,                0.73879,                0.46394,                 1.3177,                 1.0958,                 1.7226,             0.00055188,             0.00055188,             0.00055188
                     64,                0.33782,                  0.345,                 0.9474,                0.65348,                0.71693,                0.75052,                0.47035,                 1.3105,                 1.1307,                 1.7146,             0.00053773,             0.00053773,             0.00053773
                     65,                0.33238,                 0.3408,                0.93578,                  0.693,                0.67687,                0.72526,                0.44622,                 1.3737,                 1.1562,                 1.7858,             0.00052359,             0.00052359,             0.00052359
                     66,                0.32656,                0.32779,                0.93002,                0.65314,                0.71101,                0.75777,                0.47573,                 1.3423,                 1.0854,                 1.7598,             0.00050944,             0.00050944,             0.00050944
                     67,                0.33397,                0.35006,                0.94888,                0.62443,                0.73492,                0.73982,                0.47845,                 1.3007,                 1.1218,                 1.6985,             0.00049529,             0.00049529,             0.00049529
                     68,                0.31901,                0.33062,                0.93678,                0.67272,                0.75172,                 0.7708,                0.48813,                 1.2991,                 1.0377,                 1.7223,             0.00048114,             0.00048114,             0.00048114
                     69,                0.32998,                0.34735,                0.94503,                0.76552,                0.70421,                 0.8002,                0.51716,                 1.2622,                 1.0028,                 1.6543,               0.000467,               0.000467,               0.000467
                     70,                0.31847,                0.33903,                0.93663,                0.69809,                0.74821,                0.79297,                0.50686,                 1.2871,                 1.0046,                 1.6994,             0.00045285,             0.00045285,             0.00045285
                     71,                 0.3227,                0.33881,                 0.9401,                0.70641,                0.70879,                0.78453,                 0.5095,                 1.2575,                 1.0072,                 1.6628,              0.0004387,              0.0004387,              0.0004387
                     72,                0.30783,                0.32755,                0.93653,                0.67228,                0.73116,                 0.7743,                 0.4936,                 1.2644,                  1.072,                 1.6804,             0.00042456,             0.00042456,             0.00042456
                     73,                 0.3078,                0.32767,                0.93859,                0.76135,                0.69374,                0.78699,                0.51097,                  1.289,                0.98537,                 1.7028,             0.00041041,             0.00041041,             0.00041041
                     74,                0.30465,                0.32194,                0.93548,                0.70601,                0.66533,                0.75829,                0.48056,                 1.3419,                 1.0923,                 1.7751,             0.00039626,             0.00039626,             0.00039626
                     75,                0.30161,                0.31585,                0.92889,                 0.6882,                0.72197,                0.76985,                 0.4885,                 1.3393,                 1.0784,                 1.7268,             0.00038211,             0.00038211,             0.00038211
                     76,                0.29458,                0.30519,                 0.9278,                0.66882,                 0.7076,                0.76627,                0.49503,                 1.2597,                 1.0729,                 1.6784,             0.00036797,             0.00036797,             0.00036797
                     77,                0.29493,                0.31238,                 0.9272,                0.71794,                 0.7002,                0.77704,                0.51418,                 1.1991,                0.99923,                 1.5988,             0.00035382,             0.00035382,             0.00035382
                     78,                0.28235,                0.29938,                0.91979,                0.74595,                0.66706,                 0.7639,                 0.4877,                 1.2971,                 1.1076,                  1.706,             0.00033967,             0.00033967,             0.00033967
                     79,                0.29586,                0.31185,                0.93499,                0.76961,                0.70172,                0.77166,                0.49435,                 1.2605,                 1.0515,                 1.6786,             0.00032553,             0.00032553,             0.00032553
                     80,                 0.2914,                 0.3038,                0.93113,                0.73438,                0.69403,                0.74879,                0.48762,                 1.2461,                 1.0223,                   1.66,             0.00031138,             0.00031138,             0.00031138
                     81,                0.28399,                 0.3033,                0.92043,                0.75717,                0.68334,                0.77788,                0.50649,                 1.2531,                 1.0153,                 1.6695,             0.00029723,             0.00029723,             0.00029723
                     82,                0.28456,                0.29571,                0.92719,                0.69929,                0.72007,                0.77122,                0.50209,                 1.2514,                  1.021,                 1.6432,             0.00028308,             0.00028308,             0.00028308
                     83,                0.28349,                0.29359,                0.91962,                 0.6975,                0.69967,                0.76689,                0.49587,                 1.2996,                  1.054,                 1.7008,             0.00026894,             0.00026894,             0.00026894
                     84,                0.28174,                0.29301,                0.92401,                0.71197,                0.73691,                0.78333,                0.51253,                 1.2491,                 1.0135,                 1.6524,             0.00025479,             0.00025479,             0.00025479
                     85,                0.26927,                0.26561,                0.91621,                0.68762,                0.79761,                0.79074,                0.51915,                 1.2183,                0.97072,                 1.6242,             0.00024064,             0.00024064,             0.00024064
                     86,                0.26842,                0.27044,                0.91521,                0.67722,                0.74299,                0.76265,                0.48689,                  1.259,                 1.0529,                  1.683,              0.0002265,              0.0002265,              0.0002265
                     87,                0.25899,                0.26681,                0.91196,                0.71615,                0.71606,                0.78039,                0.51415,                 1.2138,                0.99223,                 1.6173,             0.00021235,             0.00021235,             0.00021235
                     88,                 0.2634,                 0.2654,                0.91532,                0.68008,                0.73119,                0.76389,                0.49526,                 1.2395,                   1.05,                 1.6431,              0.0001982,              0.0001982,              0.0001982
                     89,                0.26466,                0.27212,                0.90936,                0.66795,                0.77968,                0.76817,                0.50546,                  1.248,                0.99793,                 1.6437,             0.00018406,             0.00018406,             0.00018406
                     90,                0.25701,                0.26205,                0.91434,                0.70484,                0.71588,                0.75795,                0.49331,                 1.2677,                 1.0054,                 1.6768,             0.00016991,             0.00016991,             0.00016991
                     91,                0.62762,                 0.5606,                 1.2614,                0.71111,                0.73035,                 0.7753,                0.50685,                 1.2183,                0.97286,                 1.6081,             0.00015576,             0.00015576,             0.00015576
                     92,                0.57879,                0.52032,                 1.2228,                0.69886,                0.77112,                0.78098,                0.51001,                 1.2386,                0.98966,                  1.635,             0.00014161,             0.00014161,             0.00014161
                     93,                0.55824,                0.50276,                  1.191,                0.69193,                0.75867,                0.78392,                0.52637,                 1.2077,                0.97203,                 1.6064,             0.00012747,             0.00012747,             0.00012747
                     94,                0.55963,                0.47489,                 1.1946,                0.76167,                0.69973,                0.80143,                0.54291,                 1.1532,                0.91431,                 1.5636,             0.00011332,             0.00011332,             0.00011332
                     95,                0.54203,                0.45605,                 1.1815,                0.76579,                 0.7329,                0.80008,                 0.5358,                 1.1752,                0.95744,                 1.5746,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                 0.5172,                0.43464,                 1.1499,                0.74327,                0.71703,                0.79695,                0.54296,                 1.1551,                 0.9333,                 1.5675,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.52194,                0.42386,                 1.1463,                0.67587,                0.78479,                 0.7933,                0.53876,                 1.1805,                0.94435,                 1.5954,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.51483,                0.41285,                 1.1535,                0.71145,                0.76382,                0.80271,                0.54657,                 1.1653,                0.92757,                 1.5689,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.51097,                0.41635,                 1.1519,                0.70449,                0.74643,                0.79134,                0.54074,                 1.1814,                0.96377,                 1.5915,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                 0.4881,                0.39482,                 1.1378,                0.75905,                0.70415,                0.79794,                0.54927,                 1.1613,                0.93575,                 1.5737,             2.8437e-05,             2.8437e-05,             2.8437e-05
